feature,coefficient
oxidoreducens_group,-0.25831430850708775
lachnospiraceae_lachnotalea,-0.23149141154917838
alicyclobacillaceae_tumebacillus,-0.22792840456423533
desertifilaceae_oscillatoria,-0.2163465310174993
incertae_sedis,-0.1509884428827266
erwiniaceae_pantoea,-0.13528343643818386
eubacteriaceae_pseudoramibacter,-0.13462216342124136
genus_10,-0.12445785347594657
enterobacteriaceae_salmonella,-0.11541685765365114
xanthobacteraceae_bradyrhizobium,-0.11008563780974645
lachnospiraceae_acetitomaculum,-0.10923198005055913
burkholderiaceae_cupriavidus,-0.0976350144044232
ethanoligenenaceae_na,-0.09153731205541106
ucg_002,-0.08866162056534621
enterobacteriaceae_lelliottia,-0.08539630726038278
alcaligenaceae_achromobacter,-0.08243328127956245
eggerthellaceae_na,-0.0769750907578739
burkholderiaceae_ralstonia,-0.07563813134046077
succinivibrionaceae_succinatimonas,-0.07327212902919522
xanthobacteraceae_rhodopseudomonas,-0.06822748698891615
