feature,coefficient
bacillaceae_anoxybacillus,0.20705246969002203
bacillaceae_weizmannia,0.15496104230766303
leptotrichiaceae_leptotrichia,0.15465966832552072
lactobacillaceae_paucilactobacillus,0.15079112515928392
propionibacteriaceae_cutibacterium,0.12778816793012535
xi_tissierella,0.12160182922131207
oxalobacteraceae_massilia,0.11446852923507102
sphingobacteriaceae_mucilaginibacter,0.10961863899338656
staphylococcaceae_mammaliicoccus,0.10193846653440934
oxalobacteraceae_herbaspirillum,0.10118745504873965
beijerinckiaceae_methylobacterium,0.10012031042770198
selenomonadaceae_selenomonas,0.09992516717291151
planococcaceae_solibacillus,0.09542882270363964
yersiniaceae_na,0.09271536250365903
bacillaceae_sutcliffiella,0.09221883445273812
erysipelotrichaceae_anaerorhabdus,0.09182448177492303
enterobacteriaceae_plesiomonas,0.09003091172108446
oxalobacteraceae_undibacterium,0.08696960997835297
eggerthellaceae_berryella,0.0853055212431554
erwiniaceae_mixta,0.08354704801311899
