Rank,Genus,Family,Coefficient,Interpretation
1,Oxidoreducens group,-,-0.2583,Strongest protective effect
2,Lachnotalea,Lachnospiraceae,-0.2315,Known butyrate producer
3,Tumebacillus,Alicyclobacillaceae,-0.2279,Protective
4,Oscillatoria,Desertifilaceae,-0.2163,Protective
5,Incertae sedis,-,-0.1510,Protective
6,Pantoea,Erwiniaceae,-0.1353,Protective
7,Pseudoramibacter,Eubacteriaceae,-0.1346,Protective
8,Genus 10,-,-0.1245,Protective
9,Salmonella,Enterobacteriaceae,-0.1154,Protective (unexpected finding)
10,Bradyrhizobium,Xanthobacteraceae,-0.1101,Protective
